iter	Passed	Remaining
828	763627	157515
829	764431	156570
830	765233	155625
831	766037	154680
832	766848	153737
833	767659	152795
834	768461	151851
835	769264	150908
836	770067	149965
837	770868	149022
838	771670	148079
839	772474	147137
840	773274	146195
841	774078	145254
842	774881	144313
843	775683	143372
844	776489	142432
845	777293	141493
846	778095	140553
847	778898	139613
848	779703	138675
849	780508	137736
850	781325	136800
851	782132	135863
852	782939	134926
853	783743	133988
854	784552	133052
855	785357	132116
856	786164	131180
857	786968	130244
858	787776	129309
859	788580	128373
860	789382	127438
861	790184	126502
862	790987	125568
863	791790	124633
864	792607	123701
865	793465	122776
866	794277	121844
867	795106	120914
868	795963	119989
869	796781	119059
870	797599	118128
871	798430	117200
872	799337	116283
873	800204	115361
874	801070	114438
875	801938	113516
876	802813	112595
877	803664	111670
878	804563	110753
879	805485	109838
880	806364	108918
881	807229	107996
882	808105	107076
883	808985	106156
884	809841	105233
885	810691	104310
886	811547	103387
887	812399	102464
888	813250	101541
889	814123	100622
890	815045	99708
891	815932	98789
892	816784	97867
893	817650	96947
894	818537	96029
895	819454	95115
896	820359	94199
897	821267	93284
898	822175	92368
899	823075	91452
900	823977	90536
901	824884	89621
902	825785	88705
903	826689	87790
904	827590	86874
905	828492	85958
906	829395	85042
907	830293	84126
908	831195	83210
909	832089	82294
910	833002	81380
911	833923	80466
912	834840	79552
913	835751	78637
914	836660	77722
915	837573	76808
916	838474	75892
917	839369	74976
918	840266	74060
919	841168	73145
920	842067	72229
921	842969	71314
922	843873	70398
923	844786	69484
924	845663	68567
925	846530	67649
926	847391	66730
927	848275	65814
928	849116	64894
929	849957	63975
930	850793	63055
931	851634	62136
932	852479	61217
933	853392	60303
934	854269	59387
935	855122	58469
936	856011	57554
937	856895	56639
938	857812	55725
939	858717	54811
940	859617	53897
941	860517	52983
942	861417	52068
943	862314	51154
944	863217	50240
945	864128	49326
946	865033	48412
947	865934	47498
948	866815	46583
949	867670	45666
950	868575	44753
951	869449	43837
952	870295	42921
953	871139	42004
954	871988	41088
955	872836	40172
956	873687	39256
957	874539	38340
958	875390	37425
959	876235	36509
960	877083	35594
961	877934	34679
962	878783	33764
963	879644	32849
964	880554	31937
965	881409	31022
966	882232	30107
967	883073	29192
968	883988	28280
969	884825	27365
970	885652	26451
971	886483	25536
972	887309	24622
973	888169	23708
974	889025	22795
975	889851	21881
976	890708	20968
977	891531	20054
978	892358	19141
979	893180	18228
980	894008	17315
981	894839	16402
982	895663	15489
983	896483	14576
984	897313	13664
985	898138	12752
986	898993	11840
987	899929	10930
988	900786	10018
989	901664	9107
990	902557	8196
991	903478	7286
992	904300	6374
993	905126	5463
994	905987	4552
995	906843	3641
996	907727	2731
997	908553	1820
998	909382	910
999	910259	0
