YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2017,1,21,15,99.5,3.84,5.49,4.75
2017,1,21,16,99.5,2.75,0.33,5.03
2017,1,21,17,99.52,3.19,2.53,5.76
2017,1,21,18,99.55,3.29,11.66,6.19
2017,1,21,19,99.57,3.22,20.33,6.05
2017,1,21,20,99.59,3.11,28.37,5.71
2017,1,21,21,99.61,3.07,35.15,5.52
2017,1,21,22,99.63,3.14,41.57,5.56
2017,1,21,23,99.63,3.21,48.25,5.64
2017,1,22,0,99.63,3.26,53.19,5.71
2017,1,22,1,99.63,3.28,56.76,5.77
2017,1,22,2,99.63,3.25,59.18,5.73
2017,1,22,3,99.61,3.17,60.9,5.62
2017,1,22,4,99.59,3.13,62.15,5.58
2017,1,22,5,99.57,3.19,62.24,5.79
2017,1,22,6,99.59,3.14,63.12,5.77
2017,1,22,7,99.65,2.82,63.86,5.13
2017,1,22,8,99.71,3.56,60.85,4.09
2017,1,22,9,99.76,3.86,58.66,4.29
2017,1,22,10,99.78,4.59,60.56,5.21
2017,1,22,11,99.74,4.88,55.37,5.61
2017,1,22,12,99.66,5.08,52.44,5.89
2017,1,22,13,99.59,4.96,51.33,5.85
2017,1,22,14,99.55,4.44,50.14,5.45
2017,1,22,15,99.53,3.34,46.9,4.6
2017,1,22,16,99.53,2.41,34.98,3.96
2017,1,22,17,99.54,2.97,30.81,4.66
2017,1,22,18,99.58,3.23,35.96,5.12
2017,1,22,19,99.59,3.24,45.1,5.16
2017,1,22,20,99.6,3.25,55.09,5.35
2017,1,22,21,99.61,3.35,62.96,5.68
2017,1,22,22,99.62,3.42,68,5.95
2017,1,22,23,99.61,3.4,71.65,6.1
2017,1,23,0,99.6,3.33,74.5,6.21
2017,1,23,1,99.59,3.28,77.89,6.39
2017,1,23,2,99.58,3.26,80.2,6.4
2017,1,23,3,99.56,3.15,82.01,6.11
2017,1,23,4,99.53,2.98,83.08,5.79
2017,1,23,5,99.52,3.1,82.48,5.89
2017,1,23,6,99.54,3.19,83.4,6.07
2017,1,23,7,99.56,3.36,86.4,6.02
2017,1,23,8,99.58,4.41,90,5.1
2017,1,23,9,99.58,4.18,94.51,4.47
2017,1,23,10,99.57,3.72,101.03,4.04
2017,1,23,11,99.51,3.33,115.9,3.78
2017,1,23,12,99.43,2.75,127.03,3.18
2017,1,23,13,99.37,2.41,134.74,2.81
2017,1,23,14,99.36,2,145.32,2.37
2017,1,23,15,99.35,1.48,142.52,1.87
2017,1,23,16,99.32,1.18,97.22,1.74
2017,1,23,17,99.32,1.86,76.61,2.69
2017,1,23,18,99.28,2.59,74.41,4.03
2017,1,23,19,99.21,2.85,80.38,4.59
2017,1,23,20,99.23,2.49,94.5,3.81
2017,1,23,21,99.22,2.4,103.58,3.63
2017,1,23,22,99.2,2.51,105.33,3.9
2017,1,23,23,99.16,2.79,107.27,4.64
2017,1,24,0,99.07,2.98,108.82,5.28
2017,1,24,1,99.01,2.86,109.13,5.12
2017,1,24,2,99,2.71,110.05,4.64
2017,1,24,3,98.97,2.66,107.96,4.66
2017,1,24,4,98.97,2.57,111.25,4.57
2017,1,24,5,98.97,2.61,114.26,5
